ID,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Expected Date,Groups With Access Code,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
70,BD,Propel Fuels - 76,1850 E Holt Blvd,Ontario,CA,91761,E,,Public - Credit card at all times,"B20, B5",,,,,,,,,200-8,34.0631733,-117.6113105,,,,,
71,ELEC,Lafontaine Nissan,2530 E Highland Rd,Highland,MI,48356,E,,Public - Call ahead,,,,,1,,,,,200-8,42.652932,-83.580487,,,,,J1772
72,LPG,Ferrellgas,1313 Eisenhower Rd,Norfolk,NE,68701,E,,Public,,,,,,,,,,200-8,42.0616381,-97.4269965,,,FALSE,,
73,ELEC,San Joaquin Valley Air Pollution Control District,1990 E Gettysburg Ave,Fresno,CA,93726,E,,Public,,,,,2,,,,,GPS,36.801411,-119.7881,,,,,J1772
74,ELEC,Nemet Motors,153-03 Hillside Ave,Jamaica,NY,11432,E,,Private,,,,,1,,,,,200-8,40.7075168,-73.8045108,,,,,J1772
75,ELEC,Mesa Main Library,64 E. 1st Street,Mesa,AZ,85201,E,,Public,,,,,3,,,Blink Network,http://www.blinknetwork.com/,GPS,33.417273,-111.830484,,,,,J1772
76,ELEC,Napleton Nissan,1301 Indianapolis Blvd,Schererville,IN,46375,E,,Private,,,,,1,,,,,200-8,41.4976735,-87.4709712,,,,,J1772
77,ELEC,"Spectrum Court, LLC",15433 N. Tatum Blvd.,Phoenix,AZ,85032,E,,Public,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,33.62729,-111.977262,,,,,J1772
78,ELEC,Nissan of Oakland,2820 Broadway,Oakland,CA,94611,E,,Private,,,,,1,,,,,GPS,37.820419,-122.261344,,,,,J1772
79,ELEC,UMKC,5001 Oak St,Kansas City,MO,64110,E,,Public,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.035998,-94.581594,,,,,J1772
80,ELEC,Umstead Hotel and Spa,100 Woodland Pond Dr,Cary,NC,27513,E,,Public,,,,,2,,,,,GPS,35.82973,-78.7646,,,,,J1772
81,ELEC,Nissan of Bergenfield,318 S Washington Ave,Bergenfield,NJ,7621,E,,Private,,,,,1,,,,,200-8,40.9172683,-73.9972053,,,,,J1772
82,ELEC,Peruzzi Nissan,165 Lincoln Hwy,Fairless Hills,PA,19030,E,,Public - Call ahead,,,,,1,,,,,200-8,40.181931,-74.863403,,,,,J1772
83,E85,Meijer Gas #167,2752 Alison Ln,Jeffersonville,IN,47130,E,,Public,,,,,,,,,,200-8,38.322867,-85.709477,,,,FALSE,
84,ELEC,Westar Energy - Lawrence Energy Center,1250 N 1800 Rd,Lawrence,KS,66049,E,,Private,,,,,1,,,,,200-8,39.0067949,-95.269499,,,,,J1772
85,CNG,Con Edison - Eastview Service Center,315 Old Saw Mill River Rd,Valhalla,NY,10595,E,,Public - Card key at all times,,Q,3000,,,,,,,200-8,41.083387,-73.8237879,,MD,,,
86,ELEC,Serramonte Nissan,650 Serramonte Blvd,Colma,CA,94014,E,,Private,,,,,1,,,,,200-8,37.675806,-122.461273,,,,,J1772
87,LPG,Triple B Home Center,1315 S Hamilton St,Sullivan,IL,61951,E,,Public - Call ahead,,,,,,,,,,200-8,39.5857114,-88.6091442,,,FALSE,,
88,ELEC,TOWNOFHEMPSTEAD,Lido Blvd,Point Lookout,NY,11561,E,,Public,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,40.5924759,-73.5844193,,,,,NEMA520 J1772
